aluminium,ammonia,arsenic,barium,cadmium,chloramine,chromium,copper,flouride,bacteria,viruses,lead,nitrates,nitrites,mercury,perchlorate,radium,selenium,silver,uranium,is_safe
2.546959950688112,11.289478767873426,0.3025839164037061,2.3822796918865388,0.04885594733486065,2.2499465119665123,0.5425121677977958,0.3340317699275517,0.7021223473507954,0.16919549274879558,0.5005929829562488,0.08866815117063515,7.447740207317895,1.126026667971475,0.0041964510243812795,52.376361901653,6.2981818115994574,0.059173578792729435,0.35755324731877325,0.06363076463359896,1.0
5.352595297648067,6.591270116510768,0.15913312782904065,1.6244570751600929,0.04461092898483397,3.053108481409233,0.14144787908210463,0.09247776399971752,0.07934915263285036,0.49639950162013674,0.2849597919191713,0.07528350761864909,10.562617940877125,0.9825391918828539,0.008418541382396293,49.816780286659174,0.2772942966602816,0.0035512634044842367,0.18285698552367624,0.059759164650051065,1.0
2.022565627171888,6.467175725721525,0.26999278353896383,0.8103852143565478,0.002886717471624861,0.20787955965972227,0.530831886990116,0.39274468759977743,1.4147284095802743,0.40353776362425836,0.08742320270535708,0.157697590694878,2.4925590638084048,2.0518023938952434,0.0013038541966250896,15.900303431616045,1.0218013913667714,0.12276395604229594,0.014121753110202223,0.0006252997224212645,1.0
2.6306186219154526,5.052718677957236,0.11057521903943986,0.5006180441263612,0.05120373837460174,1.5399441925136466,0.6188832002945321,0.047229981301243784,0.8968213490069975,0.17037550400517568,0.15284522061457725,0.13178877618221002,12.962124873899436,1.1810625012090072,0.0014851802628673065,16.018601688298347,4.221701260556451,0.06328767607317917,0.07449294735059234,0.024469271195966563,1.0
2.72380343518999,15.220336829849884,0.3680790224595187,1.8580443711178993,0.00764547850731088,5.3011677035750875,0.2686399703464302,1.1291648253938176,0.3340529721463365,0.38900738914443966,0.08660731368196017,0.014207187232494353,2.9998783836958633,1.106141832022278,0.00040970318538807813,11.560432752624694,3.091085602829367,0.020742602664199358,0.08762328367095026,0.04531856785033807,1.0
0.37615501866616863,17.897075389246837,0.03957498340711165,2.31041802688225,0.046517720736660814,2.7406655049179,0.05875837698391706,0.49929977004913645,0.4264684152674875,0.48403718561173537,0.301657637457128,0.1388546164506832,7.448716243542601,1.187793109046747,0.0034480220022618645,14.901328863756817,1.7061873191047061,0.035231331670147074,0.013634943189069298,0.04837022823735431,1.0
1.660410287051919,18.655614952749858,0.08137200397315253,4.079238867151772,0.06675719950593523,1.9613161875768717,0.6617688453482905,0.6938054984652617,0.3455325596208771,0.1092840702065439,0.22410150227287023,0.14047673394295934,9.825215744982236,1.612717541061544,0.0027467548085080436,5.907497405299615,1.746067548025309,0.03827833328484058,0.22680997999704194,0.06692582051878218,1.0
0.583027915297998,7.912426783144222,0.2284351310885045,2.814157950193062,0.005945369876482335,3.0013276145250556,0.13836552534786128,1.7127830792325387,0.7475733667529237,0.3739618247328544,0.2463079904088329,0.17337187194346415,0.4479724297183907,0.9588165909999524,0.00484707490649869,23.147089338815196,3.837646594617424,0.08374475512480456,0.07647319819784726,0.07194575101206604,1.0
1.5761386748529986,27.023159796288695,0.0321913220326025,0.5550000948601923,0.051659165496593426,2.0727419238023153,0.4885051627870196,1.33026894378334,0.8654872613010676,0.027881399390207506,0.19517091603725215,0.04525893713148318,8.53957792339712,1.1705266109233659,0.009223487454121536,38.3121052844122,6.714476521237932,0.007089855270135212,0.16811485805701176,0.04170927483610522,1.0
0.7212663247482993,8.674324358893323,0.17517850043600847,2.7263367814763475,0.007545219716427628,1.0527763687642064,0.04015601134087854,0.6993851940205568,0.7873006235066902,0.9056897746324124,0.19994892606856057,0.07828236402722832,5.7988098205282235,2.018087644948622,0.0035393250300787206,32.70481434786835,2.132830355300244,0.060637424798972245,0.023490383467415527,0.0013611731020459622,1.0
0.11901830463100782,9.671222948123578,0.2190611024401497,2.8030125408843904,0.020253478435577447,4.140296243182644,0.2860560369162742,0.16506463508913682,0.9485708870585317,0.5955955461199811,0.12023269050147428,0.1429642231635548,2.6966424910131988,1.5453156638472114,0.008853621551608766,18.97755204881532,5.828046167670911,0.08183562797090087,0.11922784304317367,0.04073342036889754,1.0
0.537741268263773,17.806069082987687,0.09774923776889748,3.2568244979380045,0.02374934209380119,4.410974254994688,0.4852687077194635,1.0660420565507778,0.6718803478805871,0.503280217972728,0.5707948820198293,0.1560426577407471,14.31204314962687,2.3935622877859264,0.006323700537050053,1.3115880212285838,2.7102906686594306,0.03295789075852394,0.10708204792431233,0.02020737793820559,1.0
2.263551254433972,12.056297887084416,0.05714262833479517,1.0490458241796636,0.01609285222802532,0.38159498221572585,0.4667684580962882,0.1876565609718961,1.1318474065176352,0.49428669330000485,0.7079804518567872,0.09901139083554263,6.204373118814381,1.267016036442081,0.0007022192500216401,29.565779111217704,1.8521400706379705,0.05065371467545094,0.1184685394604395,0.06986258301794801,1.0
1.5705638414981127,9.102700698253773,0.2430639769261762,0.4052692593706453,0.03301918132069287,7.795755167362464,0.49878923827104726,0.8231077199191613,0.7628438627376926,0.4589299021422444,0.15375433894983662,0.12322445536388892,11.824278773073452,1.4717994446118081,0.007716271845358229,28.360589464473637,4.4159045506607075,0.0066943900195198525,0.4273951433541301,0.03628105521279599,1.0
0.12322841831313469,16.099714636736277,0.2981187435332173,1.6167524099186947,0.01259066076496677,7.9445799436066915,0.029432936123998554,0.788444487543142,0.9735929801365297,0.09385925689238639,1.1485100569625573,0.12348392874193201,11.988041808270584,1.1252132864622935,0.0036367448884546344,39.68460921148031,5.1897778823150045,0.04178404490584306,0.10961480856704794,0.09472367520691471,1.0
3.441157774302358,11.978145316675993,0.14977370977376836,0.27834063634330986,0.01738412473356273,3.235990789641375,0.010546445701419882,0.6884742714920904,1.4139331097966599,0.9196255510774858,0.44111908676690614,0.10768144663810114,4.741682141985944,1.0399038032223347,0.0010308863252577222,16.310437333810107,2.421061562188262,0.04439007416829552,0.274443103316209,0.031080491693050175,1.0
3.630705546033883,0.881748676820262,0.17798393257528308,1.433556071962487,0.03319636783068919,2.265541553106724,0.193259996922487,0.2980129288110942,1.346848202692238,0.3744577177535853,0.13463206867493105,0.08402270524570424,4.148500723472635,0.9379992441351976,0.004489720317711562,27.514027166725505,0.25546832430239474,0.008235793261308105,0.30789961039404273,0.08642806291350166,1.0
3.189300707529754,6.626792860872075,0.2503473699754081,2.598693406571288,0.015116744881813651,5.982453492874086,0.6054949471340956,1.098887933033822,0.9945616636785226,0.021233730509650328,0.07257326407827003,0.13985589872763227,4.076317437484365,1.3163781790029214,0.006561394015875825,7.275823977147889,2.724265789287064,0.07245337479329529,0.13461376216026702,0.03840360362290457,1.0
0.08024917173720936,16.08968850913856,0.10526265440573015,3.1676600713415257,0.025897930189911773,7.477376048012216,0.61048992696898,0.19764447859946843,0.7359362107470355,0.12272556002797727,0.682880729276956,0.02180901834485255,8.280039586697283,1.1878198604373513,0.008530505754898901,23.276579779621485,3.097248176741224,0.024947100527966733,0.28125307323093185,0.0438195013088673,1.0
2.454682050177192,8.458578684726321,0.31178404560608663,2.9591685461435766,0.09518366513683132,1.1144546872774836,0.5111714317601307,2.2309242579483826,0.03204937882188319,0.030528412657060355,0.0239317608900545,0.08418808575009537,11.496744933477322,1.3957984989729133,0.004569712530325645,12.960469694813618,1.5344478002535857,0.039686377348862115,0.06732270776576046,0.02974872949922939,1.0
0.3155090914166625,14.188653002030783,0.002668384056378356,2.999721627702339,0.020240079088410527,7.30722432605803,0.05257364124839614,0.032784832362421135,0.25229378121723245,0.12372411504569597,0.052455789774981665,0.16632769060678315,9.63407822248029,1.1970489490206764,0.010031064427357921,9.825440737587208,8.349924674678816,0.0445836257484163,0.2053598650647418,0.02494904397852505,1.0
0.5559938628124668,18.063884583782738,0.2174096673754729,3.1475642470757847,0.014965736190215241,3.482704239965232,0.5251082000928748,1.2360718282960945,0.6263473191947806,0.24410450864106212,0.24579355389125773,0.14395465563053825,4.7018889103900765,1.7005069445886236,0.0029358044008516025,39.06943826564138,7.17389430755996,0.06140253466969532,0.09888436308248882,0.023801200973220082,1.0
1.5942966711521365,1.2208845498502274,0.057101332199945024,2.543705869301746,0.02162099388079621,3.198760497368854,0.39398415543689413,1.418631140268909,1.396101924549018,0.6200338696027241,0.15302591328689003,0.13341439051218335,6.48584814340288,1.1021841233763456,0.0038161526565772515,46.19524041073874,0.14749600659587925,0.018578530888361283,0.214853217417986,0.041490569770650805,1.0
3.5691736659909843,22.180944924982263,0.05648706795027941,3.350311771372013,0.03267402942260442,5.817022729886896,0.24222315532994187,0.7129855787414667,0.8271259405566682,0.5240475393058536,0.33664350057901626,0.1362961189263023,2.760188066978877,1.6342577760605503,0.003356181461013897,20.83995856031837,9.987392764925616,0.035445825023221765,0.2961570147086946,0.03597134459848817,1.0
2.7224631313259975,9.378468623419169,0.22378909070055059,0.7751950093905098,0.01962481180848845,4.754663893055648,0.37437996428121756,1.3557306958679811,1.0146692773983352,0.6853543853072912,0.15371554128110426,0.16867882110013907,17.2049787593886,0.8801002384627838,0.005143920573878934,19.249511868926383,3.0094497376226195,0.02409546509683215,0.03882411073721001,0.059839482030812574,1.0
2.8909335777491503,10.92945602959909,0.020720897552821374,1.8681879007380415,0.04499082656174745,0.8914346788326295,0.2549779883175395,1.0106096528678368,0.8479296920195581,0.019340342345262218,0.7641677717309152,0.051313300467660576,9.156916017102972,1.515809710337899,0.0025214507213795036,31.100092390463722,5.726368990022587,0.06462114100609755,0.282621612901374,0.05127659519830558,1.0
0.04584212690117773,10.852997396632256,0.3139288918982518,1.8700713942398144,0.008536471344528647,0.36945177005707075,0.4585089751299567,0.9856239875772956,0.48691709981603765,0.33949175452649,0.15329580295131737,0.1048599500296111,3.2978114089690465,0.8838374941184448,0.007194924327054562,45.02465107006388,1.758807288640837,0.003141673572911244,0.3055724143983701,0.07434379980360026,1.0
0.864478342488313,2.3988050729577193,0.2194291567067801,1.3283248277620237,0.006933293456700126,0.5152974325913955,0.0027135982488352695,1.3526531548427325,1.0196357490362944,0.7601188703917234,0.6031522840056339,0.13315845310088276,5.149139120350165,1.1103505844401151,0.007895244289417114,11.343243661380757,0.7467721802432261,0.021406209996635964,0.16870184813658118,0.023414110838462787,1.0
2.8229753463502174,2.641218551773493,0.0663406012804294,0.7961289296796616,0.016091485128389996,6.7130797697277815,0.549685622584988,1.228483937227692,1.0619958399824698,0.6502860170514988,0.13432675552503526,0.08284560613537716,11.384136967954667,1.1740136554575422,0.003361220929316377,10.745331252891809,5.261015709649737,0.078375161601953,0.17340507014378406,0.06407003479552299,1.0
3.345731353531053,6.986533228766801,0.04786674674090141,0.11725558295413752,0.031771078304289886,2.250312502810505,0.17527352946907818,0.5269888565627021,0.4240519038141344,0.6845751364844639,0.21818265502854722,0.06516402628685479,5.435325698447398,2.4395613338012847,0.0008836647802061047,17.23780195176887,2.5233425257979554,0.04441627121418088,0.199159828265163,0.09539310338553691,1.0
1.139331826793121,20.680999600304048,0.34601467000439795,3.0774221758120004,0.019717327503801153,2.384173135138521,0.41433552955082104,0.5889803613088687,0.5887748681251654,0.4369011808846277,0.5217380574923184,0.0007170555281914154,3.747049130844225,1.4755153878859473,0.010309105810571473,26.032688620591898,5.217950635317212,0.06405576416132597,0.27461772825068703,0.026174983534659375,1.0
3.8689655693543576,19.98509291659356,0.04828216434683262,2.9475820226098515,0.014841444467253422,4.162297884991315,0.4413826767750282,0.1474306337162824,0.794159784890958,0.46041471341758833,0.702904755868119,0.04265450565065719,15.076875750547778,1.236794543257453,0.009426704400969967,2.310930914202718,1.4265598092636156,0.07180355625614572,0.2311808026131774,0.024429772520415054,1.0
3.0695550217299625,19.24344194175537,0.20214951355192828,2.258878902494682,0.04490901082975085,1.028153703157109,0.321997330342221,0.8488808199529789,0.9335373805405073,0.611195248807848,0.37160552622957876,0.12313664311203791,11.924801049452729,1.740542538804007,0.003886314570937033,7.299775591830365,2.9389474356290908,0.04784598814983313,0.41337494230295635,0.045264554139247806,1.0
0.36936344951131694,9.343368802071709,0.14146999379077257,1.865084882995953,0.028921884663291673,5.411744527322583,0.14938071530488986,0.0549889672850814,0.8976973849989761,0.7797560412390774,0.15442536621552871,0.048299996256322426,9.38344473185347,1.0804490685495158,0.0076321251299685516,5.5001009598292345,7.663721437381168,0.040931206113405984,0.47367722654482103,0.03011167987663624,1.0
2.2325874211056997,11.296678316374958,0.022046949590146372,1.8846797916354627,0.0039180465896105215,3.1370300479911055,0.8680620014105573,0.6916211889198078,0.21668808590274247,0.15690617496746107,0.10160833091213,0.0017095342171234845,18.45637030099263,1.5964239977863575,0.009764942691671216,18.8630653803747,3.2993590679273574,0.013558036258503478,0.37662700297598717,0.06840924180536587,1.0
0.5326199931586677,9.308187238971604,0.03076747426327657,3.3139005846324343,0.00432346104686916,0.5949935331186458,0.2199635958810325,0.15556526527059322,1.0486108922713502,0.22258491950716502,0.4365599520831307,0.12633694133815426,6.606776499514508,1.0462611493631084,0.0016157834874737233,0.04955419702369568,3.713621204743755,0.015218124219035803,0.058741307232283824,0.05926560490472017,1.0
0.4754057600856145,15.123049506153968,0.07479983873350221,0.47907208148570524,0.055573422931757085,4.159827717903511,0.10499986377460041,2.408581506108,1.073571676409328,0.4268970530939353,0.4859928800109095,0.08983376447158903,8.392445265055189,1.5110363237453872,0.005818311168465864,8.501027467281553,4.643100223214907,0.06653314876047543,0.024195454786962084,0.05501819306193946,1.0
0.6839926540444228,2.6297470078373664,0.12976665741419052,1.9287376791011706,0.061815320835886006,3.892014691798786,0.15303843509997694,0.5219832007492273,0.06825940902816652,0.07521720446682759,0.27689042888482135,0.019844517149003524,7.772959766849355,1.6348933643615333,0.002714556953177697,6.600332963590194,4.590592841134099,0.05365561457881928,0.12062032396628322,0.026035373544027046,1.0
0.33332973323299675,20.000115757203318,0.08039704211540112,0.3053613419085748,0.023585824407940402,4.710292101574288,0.48127004929543915,1.351041648077017,0.9990991860123613,0.8308890687303807,0.018440166598725632,0.11132347791362508,7.682488643070469,0.7290639942661561,0.004003758265059155,30.382775814313717,3.8657140232126634,0.06064093801188128,0.17914733486628395,0.021253243298042485,1.0
2.3262393598094193,23.62739934257499,0.020867285028235358,3.5707711662944397,0.017307216453603447,4.695128914438,0.08450540480599089,0.8092717721116278,1.3187230618188814,0.6672351125090787,0.26497931554078574,0.08195248238385017,14.621153719575982,1.9019477944983976,0.00310334817047638,29.05138904963695,4.170817408773013,0.03224303050163383,0.1931489866505746,0.019894479710623313,1.0
2.320688164474796,3.9886281421480128,0.15375600725192815,1.8299445063879989,0.00946686209509896,0.9983546316371297,0.1745683003999255,0.1594279272156196,0.4325202683609122,0.0195716016576169,0.13340907788537187,0.22005309188094618,16.415619983342957,1.7142241082693142,0.0035426037186471774,0.7131520729871035,0.5869709473964684,0.04954802755865526,0.00193982227930789,0.0654130227801138,1.0
4.929178683666209,7.777950958628024,0.3393650958434669,1.4908652123162152,0.01784187297502956,4.9545467092467455,0.3077043491840261,1.1607881749454054,0.44464314066271415,0.5817781100639923,0.23817434396372617,0.04537773002724787,16.828097243256206,1.2250241119182923,0.010484566345974604,24.308561146489353,4.135616906426041,0.05012341854866826,0.03119194159794711,0.0024767102943425226,1.0
0.5387469895711174,6.208760535748869,0.0644305513710581,3.369548434322587,0.06436517171382929,7.3194483607969065,0.2293220968370081,0.9444026010443167,1.233218352995713,0.46920138655000493,0.17481346580049165,0.10255719486085876,16.564816541625564,1.952557096724385,0.00824871929882098,21.030616702702837,3.441103128344116,0.02867470962630307,0.3431895243428357,0.05563352456384636,1.0
0.854326376024396,28.62881524545516,0.02270722695009981,1.1100154104135287,0.02344397674596389,4.687106537630181,0.37935916917250495,0.14615830601415336,0.560029256163219,0.0768713165877597,0.007124219289283779,0.002366738273544902,13.340344875382407,1.3270170427501853,0.008315673568309779,10.275009351101653,0.44382607086427184,0.08796879695887999,0.10650394082085636,0.09123071779855521,1.0
0.8917841132690201,19.16399944811149,0.0214537685026812,1.1910733042568402,0.011892292185732532,4.190233841556834,0.6800299836094778,1.6177448878072036,0.8329741023756799,0.30871637494149856,0.6145239932195576,0.17093473059301265,11.735091470262548,2.283308604574968,0.004528991230998394,39.1411090903192,2.409264680377838,0.07707854930411001,0.049072051071486406,0.07227755438714545,1.0
2.3225203425980836,27.326745258474674,0.13085878964472497,2.2826313078310285,0.01756939270397815,3.9455863236743443,0.2840912878849695,0.7312463619352599,0.6438748166383987,0.3952527421277511,0.62670159577295,0.16699641091171552,9.020579178303205,1.9312215905852277,0.004380033251207159,42.385652987800505,1.3172419067234675,0.041381438161567106,0.020202296836809464,0.022424596523950898,1.0
2.8121929239078907,10.821626347190115,0.18100485687559953,1.4949252344144912,0.049420121453496654,2.384885032373421,0.5155792947617717,0.6419089556295814,0.7945301683312219,0.23974119042955794,0.5660759181217092,0.11792733741265694,3.9050960276479296,1.5766037546476648,0.0029283419606344397,10.985810879533458,5.915132442205281,0.02292446048182025,0.40300827525562943,0.037371426595840536,1.0
1.4483641829691414,3.8238922790992174,0.18231618134618266,2.6690432394196204,0.019350426504444802,5.628653661766504,0.21552911860450433,0.11384405612557635,0.054445311939207985,0.1575437449683142,0.006544064537089778,0.20541090388748795,11.115445507693789,1.7493672828065285,0.0022819066208701402,21.325331159179754,5.642348108010829,0.08258196751257371,0.17662812659900562,0.05877073322648503,1.0
0.2907326822444223,25.387087784050962,0.11649778392043128,2.7098799675295533,0.0002933588516443285,4.402625464005583,0.33855706854865847,1.6459784128398725,0.9745165127052523,0.4200512011109909,0.6027898254052927,0.007568071108458738,13.685011213453889,1.5682739558280363,0.003912421520718193,19.66662169660229,2.3256649535187033,0.04214410662287008,0.10258042821268518,0.05878134899879832,1.0
0.5070800364154469,13.29547758122318,0.01785365658955878,1.0337078487824023,0.012066258023356374,1.527014219489548,0.9363599922759683,1.8457762850620587,0.7672277575547322,0.5694706253655965,0.030403777679212263,0.09418288433046333,15.27032295498141,1.3551311687345873,0.005420471110905705,16.031967962160003,3.1286731172120166,0.05606890019618026,0.36714272760921524,0.01734050862649237,1.0
0.8006440671013613,27.79849944653923,0.22658850469968256,1.547291813383918,0.036242691664453125,0.5396999163909322,0.019810652083858793,0.7623339291683429,0.7729551720745917,0.387499689441903,0.3305219219824247,0.024688224454069957,0.6592175235128845,1.331954796570968,0.004725351324736239,17.951838399105206,3.4046822236657066,0.005899454415573463,0.12450025788896656,0.021119790836583403,1.0
2.1719295873098163,13.39982309527986,0.04410791761375821,4.031816103030083,0.021627561512065695,4.099202903844882,0.04673446386244895,0.34473777098133906,0.07524853574447743,0.523359344159259,0.09811091788275653,0.049720734700036684,9.274049506088177,0.9029417708458624,0.004031829903535005,14.793400517189824,1.1670694082204371,0.06702445604688347,0.288102521694498,0.05994139123926137,1.0
3.882271795227755,21.576755946060945,0.22915733640927122,0.9123728521166605,0.016545785139111348,7.7518882402791,0.457445570260623,1.1278559145189666,1.1044781238098942,0.7525576998153642,0.4152859483916792,0.14217279097189023,8.97692938256935,1.7512279433113696,0.00566248411571057,26.187101688642606,4.058305770775684,0.028672945881372435,0.237763179753073,0.02042587787203002,1.0
1.978337506603698,9.889998265863213,0.13177695451580587,2.5538513778384004,0.006292079883930549,2.232149425197406,0.3752660962821214,0.3673270383045249,0.9345050114561145,0.3127817410104036,0.07609183861657798,0.0448929762901849,9.146505021505547,1.3056708209493189,0.007660687200711423,15.193243427647968,0.6945228775696286,0.0751271041864829,0.14650500349288165,0.06235188672340796,1.0
3.08357932041251,8.48291193770596,0.3561129343651191,1.8849539940448183,0.00643570035201612,5.372143502953826,0.5736329052289226,0.6529353380066023,0.8969117133855536,0.7752575080389474,0.5629893424060699,0.08717919747457274,10.967853170427544,1.2276771694082194,0.005530178591660661,17.55931529705214,1.9648498175756814,0.10610030416308897,0.34857977453747613,0.04709475294954448,1.0
0.8587415041430961,13.651949732770289,0.10576765662811402,2.297458906945135,0.031440691536898414,1.306598414995122,0.5156433210071552,0.2525562001745293,0.055010687862474206,0.034245975888625324,0.23343869605914902,0.1112088022121882,13.525274661387463,1.4605676385190727,0.002652296764136364,27.058537228660306,4.631052864122113,0.0069037694038809674,0.18259498139868288,0.05320749803657201,1.0
1.7784675874974147,4.431559511520765,0.10586795883098364,3.0279810266942833,0.07944273851404868,7.169180118272564,0.48947869578869696,0.16870704361943134,0.6732085030057583,0.4805635302498796,0.06056350126686072,0.1888321251563721,1.1299739701569012,0.8453360613063484,0.007006470706806711,34.05279630532232,4.325021249549082,0.08832435598513108,0.41728205673439145,0.04225404478071429,1.0
1.741199773600198,25.22811903604841,0.02364386933212126,1.2294582946995183,0.04730900706280231,1.4930705510419848,0.30642206149912377,1.6033625928838697,0.013494376391106178,0.4479534118261223,0.28654073748799286,0.028267343163635453,14.196832405699041,1.681404024903111,0.004000158733253774,17.317220908919644,1.522629027247407,0.0522244053918028,0.11352429853227872,0.015512799799790554,1.0
4.1756665445667105,14.939506002307427,0.20166882970596678,2.428872424909134,0.016612414831574284,3.6145987422843495,0.7766746728408094,2.9759337825341348e-05,0.46498230502991655,0.5012105703806701,0.2623013199323595,0.046917065406509605,6.570436782482441,0.9074022311754759,0.0030957061854468937,27.196540180827846,6.098663792007063,0.005193735796586087,0.47798529254640787,0.040737906863723646,1.0
2.886873907135565,18.73619040719892,0.14605657487654106,0.6367252363662153,0.02488646907764367,4.25452029153422,0.6447959037305896,0.9789456673576293,1.2505280457442538,0.0171651940642773,0.7514994530456601,0.13339358917934457,16.166863196284464,1.2727816699149936,0.0055211002197266225,24.61519896262619,4.014954672176317,0.07764875685962258,0.05022312180960292,0.03585562541100443,1.0
0.6866564336677325,24.31071529648252,0.11946076947703088,2.7133217299891528,0.02787436450140186,5.7255479202716675,1.500780373591593,0.4419499475938012,1.0123013009437,0.7897991104877943,0.3495689049813494,0.05231116617874338,13.9389266003,1.0170671254601338,0.00391638421601999,14.009138090269147,3.7260864133212723,0.0008054828130573191,0.16855305597125647,0.011533893661361143,1.0
2.5945899479178443,21.782922114850216,0.4062862040846865,0.532374657477898,0.018654836031102445,3.985703941268679,0.36177646443870193,0.8070417404945041,0.5968591098966198,0.25411787513757345,0.6359783256417828,0.14976989569173035,2.5586845822628215,0.454042183622848,0.0005867864391886366,2.016047145938437,1.3637336129408593,0.027813929696820207,0.11282157262221738,0.040513079902117465,1.0
2.4907622227789763,13.45449103942699,0.24626581284887783,2.251179538558266,0.02996342063259383,0.3371434408400993,1.0587893839005185,1.2057019211070303,0.7108870642618961,0.5965492342451324,0.12808798631300264,0.08547509883229903,4.680930598635026,1.287391049646711,0.002845561826705664,4.531492516726457,4.6554512728688575,0.047733992134883746,0.07309727074674308,0.05185022098467881,1.0
1.5792140629440343,13.788039518474932,0.026157723494593298,0.43766340748276833,0.03306077472035661,1.4304163511597046,0.882625976648701,1.8659505843479995,1.284211485654469,0.01457890095536224,0.09575171293945772,0.08583993923386406,15.229571108779382,1.7101585958324224,0.005893294836651641,33.180189177343365,6.380995161995739,0.088041850381277,0.20964940092548134,0.015072484406502582,1.0
2.8620033228632593,21.084072881184195,0.2188479535277102,3.253600084782753,0.002457231983005544,2.0794117015499327,0.43361993986346276,1.514226998118442,1.4846680845035265,0.8378379239154892,0.14620535563387904,0.19742638485795022,2.885732956057785,0.5438074605973878,0.004481238942413989,6.952814094073597,3.7450061791854696,0.022077199501295018,0.2557102767417217,0.042737394897717725,1.0
1.9411782834900804,13.54405908055666,0.09362967066196465,2.0009123197201824,0.039757979886834195,3.967543669717076,0.16494502397509705,0.7859367561580243,0.7756442605580327,0.13781612681238878,0.48462152322912544,0.10167625557139098,2.4330229032621524,1.1413576901864144,0.004888362117125297,11.622597347787767,6.660230664929864,0.022871847079485627,0.3635267278526245,0.050808967733369924,1.0
2.282689382169917,7.860161787309936,0.14995477431446808,2.83891694216924,0.028059530482444476,2.45320725246253,0.8704270902860369,0.7351338191694068,0.9510170959655425,0.08029253298765082,0.17238956554807966,0.07958826587702145,12.597645349519011,1.0835598288330819,0.007662052736315882,21.423426122081988,2.9699172096994273,0.045849700536294884,0.2458657950767842,0.05051754126059298,1.0
3.5142857244174293,2.6243581890983467,0.14186683897462932,3.6527516674093468,0.008812153065660345,2.031267888286575,0.7121479447445421,1.174716245335293,0.6683550701066308,0.564960230311502,0.19639308917832948,0.07579247682687806,8.715230122320465,1.496558621704993,0.008914974691640928,15.168152921661163,5.36099779123019,0.009039128528201115,0.00729036696509941,0.06278821398596515,1.0
3.939536477208544,10.186777591254916,0.15551276717275914,1.1893485814079294,0.02898406531800721,3.8333731408244667,0.3905143490919087,1.4447512670064504,0.7739960069905295,0.09062093084576173,0.7906092703920516,0.10295879968684475,5.0167267216887055,1.1595914913835643,0.006547250520288303,0.12036201438691307,3.474411788790981,0.09153336257379391,0.20364819023449304,0.025590790090944095,1.0
2.4373143677308904,37.45640506022497,0.27181992060481086,3.3209962231462202,0.0007197598426516814,6.0674285714015745,0.3184365289673493,0.2839584262585012,1.2509595533373492,0.44073400762926085,0.05766701618927578,0.10552910606976713,11.60307977794652,1.7187421406236645,0.0004490101117126154,12.134978434261681,6.38453728062702,0.040651503281629545,0.4676370772119324,0.0027257356404318117,1.0
1.361064232580461,15.940572836441515,0.20287974666533926,1.667610404993603,0.040462110658332204,8.228480917232613,0.11611405262926061,2.016901777741098,0.8498494779156527,0.014529122449452314,0.11689325292379255,0.08776161703054904,13.61320777103322,1.1517851899502094,0.005978771404725863,22.179379315148587,5.127962515632733,0.057650260751223315,0.27006935711485625,0.058714779029506434,1.0
1.2358695187140973,13.658559716397786,0.08463080963241287,3.6435009112540953,0.0263067840854736,6.961615907142879,0.5806767749184046,1.5231054758507137,1.0166321397766307,0.4205100030697552,0.2446537059066155,0.10706692978759252,0.43730952504773235,1.2121864783423117,0.009405317958059805,47.61980515752113,3.479069138294258,0.037665893759248406,0.2204559388408306,0.09513710909037708,1.0
5.630731948915688,34.1779013485581,0.14953337988918286,2.12309735622343,0.08904671970566243,5.767541462400997,0.19280378740532741,0.31806689636187246,1.6169566446952044,0.09176785403702198,0.21785266458217759,0.15026855870896122,2.7980757938080796,1.430559318500069,0.004788300316218764,32.46274511533587,2.5306740806458805,0.07261842053782219,0.09234577196355953,0.04371152877592418,1.0
2.809708045403399,7.332230635928942,0.016171314969641873,3.2573499211362495,0.04081001176510926,3.8152082589293506,0.6215589573124131,1.7368696453340204,0.8086399392518344,0.16731541715955334,0.7033789471774905,0.01873806000103946,7.180365739745051,2.322747650147572,0.012603489843877679,19.239349575760944,4.055868221445211,0.03775028173897246,0.1906442900729965,0.014396559717508656,1.0
2.4698437305593908,17.734906993265852,0.12081953504933043,4.701426361037188,0.002408932952563222,9.87558939453469,0.2350299052712026,1.9290890775702634,0.7894421241681397,0.9354514616947587,0.26866102179145535,0.06354328996839265,0.6370320273370229,0.9898666380538806,0.0019439921132462647,20.135249522958322,3.588739097083214,0.04671962049465723,0.12048274705180537,0.06928321880860489,1.0
0.8930054122903265,13.40917925589062,0.3550906268628945,1.5134790712007138,0.029274709778473015,2.7274503272883757,0.3638784362117616,0.13726162678690623,1.3436803335784453,0.2596199702020819,0.841188610746365,0.18365061179988623,2.9543436747482144,1.997958218612224,0.005089918588006978,27.339004762258,7.169404401010555,0.049444303832465855,0.1301172186767368,0.076661068528936,1.0
2.4629499730021553,12.4530254382383,0.06878177168112798,1.5052369719376022,0.03339740352317224,6.535212698533911,0.0466420349721674,1.5952802349451616,0.24564295505641454,0.0005861325598433553,0.17045651298362474,0.031550069262506836,16.33728660834079,1.8980999796914078,0.0012104447556936055,17.416758705165684,2.0189843545961885,0.012486364879655744,0.18708247032401107,0.05769576188994267,1.0
